"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Bangladesh",0,0,0.25,0.367066544566537,0.75,1
"Cambodia",0,0,0,0.283245634500248,0.571428571428571,1
"Egypt",0,0,0.166666666666667,0.219685990338165,0.333333333333333,1
"Ethiopia",0,0,0,0.194160052910054,0.333333333333333,1
"Haiti",0,0,0,0.218683390022684,0.34375,1
"Indonesia",0,0,0.25,0.274019396551715,0.5,1
"Jordan",0,0,0.2,0.234875801282053,0.4,1
"Nicaragua",0,0,0,0.143906994047616,0.25,1
"Vietnam",0,0,0.142857142857143,0.254762238290945,0.5,1
